name_fielder,position,start_dist_st_R,start_ang_st_R,start_dist_sh_R,start_ang_sh_R,start_dist_st_L,start_ang_st_L,start_dist_sh_L,start_ang_sh_L
ortegarafael,LF,302.0,-27.0,302.5125,-26.669444444444444,294.0,-29.0,297.0,-28.0
ortegarafael,RF,295.0,29.0,292.3405172413793,27.46120689655172,299.9954545454545,25.76666666666667,301.07402707275804,26.316412859560067
ortizjoey,2B,152.0,7.0,153.0,3.0,148.0,19.0,146.0,22.0
ortizjoey,3B,123.0,-37.5,123.0,-39.0,126.0,-27.0,132.0,-23.0
ortizjoey,SS,148.0,-19.5,147.2686274509804,-20.26078431372549,152.0,-7.5,153.35215053763443,-3.888440860215054
outmanjames,CF,319.0,2.0,320.0,2.0,317.5,-2.0,318.0,-1.0
outmanjames,LF,304.0,-25.0,302.5125,-26.669444444444444,286.0,-28.0,289.0,-28.0
outmanjames,RF,289.0,29.0,292.3405172413793,27.46120689655172,299.9954545454545,25.76666666666667,301.07402707275804,26.316412859560067
owingschris,SS,151.0,-16.0,147.2686274509804,-20.26078431372549,155.0,-4.0,155.0,-3.0
ozunamarcell,LF,312.0,-26.0,302.5125,-26.669444444444444,306.0,-29.0,292.11885521885523,-28.30252525252525
pachecristian,CF,321.3333333333333,2.6666666666666665,327.0,-2.0,318.0,-4.0,321.0,-3.333333333333333
pachecristian,LF,304.5,-26.0,302.5125,-26.669444444444444,291.0,-30.0,293.5,-30.0
pachecristian,RF,282.0,30.0,292.3405172413793,27.46120689655172,297.0,27.0,301.07402707275804,26.316412859560067
padlokevin,1B,117.0,32.0,111.71960784313724,28.4078431372549,122.48407643312102,37.705414012738856,124.10011574074076,38.27430555555556
padlokevin,3B,126.0,-35.0,121.58928571428572,-37.36607142857143,115.78947368421052,-26.9859649122807,131.24347389558233,-22.40863453815261
pagesandy,CF,316.0,2.0,317.0,0.0,315.0,-2.0,315.0,-1.0
pagesandy,LF,300.0,-26.0,302.5125,-26.669444444444444,284.0,-28.0,284.0,-27.0
pagesandy,RF,286.0,28.0,292.3405172413793,27.46120689655172,298.0,25.0,299.0,26.0
palaciosjoshua,CF,326.5,2.0,323.3076923076923,0.5865384615384616,319.0,-3.0,318.0,-4.0
palaciosjoshua,LF,304.5,-25.5,295.0,-26.0,288.5,-29.5,284.0,-30.0
palaciosjoshua,RF,287.0,29.5,287.0,28.0,303.0,25.0,304.0,25.0
palaciosrichie,2B,154.0,5.5,155.0,2.0,149.0,20.0,148.0,22.0
palaciosrichie,3B,116.0,-39.0,121.58928571428572,-37.36607142857143,115.78947368421052,-26.9859649122807,131.24347389558233,-22.40863453815261
palaciosrichie,CF,317.0,2.0,320.0,2.0,321.196875,-2.0776041666666667,323.5921052631579,-1.361842105263158
palaciosrichie,LF,306.5,-26.0,308.0,-26.0,292.0,-28.5,295.5,-27.5
palaciosrichie,RF,294.0,28.0,298.0,28.0,301.0,26.0,305.5,27.5
paredesisaac,1B,103.0,28.5,98.0,26.0,122.5,39.0,122.5,40.0
paredesisaac,2B,153.0,8.0,154.0,2.0,148.0,19.0,147.0,22.0
paredesisaac,3B,121.66666666666669,-37.0,123.33333333333331,-38.66666666666666,112.33333333333331,-26.33333333333333,127.0,-22.666666666666668
paredesisaac,SS,147.0,-21.0,147.2686274509804,-20.26078431372549,152.54887218045113,-6.215538847117794,153.35215053763443,-3.888440860215054
pariskyren,2B,152.0,6.5,153.0,3.0,147.0,19.0,147.0,21.0
